dataset,partition,partition_name,kernel,timestamp,n,features,n_clusters,shape,density,dim_level,size_level,condition,source,ari_mean,ari_std,ari_min,ari_max,nmi_mean,nmi_std,fit_time_s,transform_time_s,kernel_time_s,total_time_s,fit_time_std,ari_per_sec,nmi_per_sec,phi_width,phi_ones_per_point_per_estimator,n_estimators,max_samples,n_runs
ecoli,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:32:38,336,7,8,mixed,varying,low,small,5,uci,0.46,0.0656,0.3301,0.504,0.5962,0.037,7.1335,2.6852,3.6276,13.4463,1.036,0.0342,0.0443,10076,1.0,200,256,5
yeast,anne,Voronoi (aNNE),ik,2026-05-25 17:32:50,1484,8,10,mixed,varying,low,medium,5,uci,0.1295,0.0051,0.1219,0.1363,0.2655,0.0082,0.371,0.2683,0.4601,1.0994,0.1041,0.1178,0.2415,3200,1.0,200,16,5
yeast,anne,Voronoi (aNNE),idk,2026-05-25 17:32:52,1484,8,10,mixed,varying,low,medium,5,uci,0.1295,0.0051,0.1219,0.1363,0.2655,0.0082,0.3388,0.2858,0.5954,1.22,0.0606,0.1062,0.2176,3200,1.0,200,16,5
syn_moons_medium,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:33:13,1000,2,2,crescent,uniform,low,medium,3,sklearn_gen,0.5716,0.0616,0.4923,0.6396,0.4707,0.0572,52.1754,25.864,24.8733,102.9127,6.9067,0.0056,0.0046,17177,1.0,200,256,5
syn_moons_medium,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:33:14,1000,2,2,crescent,uniform,low,medium,3,sklearn_gen,0.5716,0.0616,0.4923,0.6396,0.4707,0.0572,51.8194,26.0375,25.2027,103.0596,7.2836,0.0055,0.0046,17177,1.0,200,256,5
yeast,inne,Hypersphere (iNNE),ik,2026-05-25 17:33:30,1484,8,10,mixed,varying,low,medium,5,uci,0.1912,0.0366,0.1614,0.2611,0.3041,0.0215,2.299,1.5095,1.8178,5.6262,0.2299,0.034,0.0541,3200,0.4699,200,16,5
yeast,inne,Hypersphere (iNNE),idk,2026-05-25 17:33:32,1484,8,10,mixed,varying,low,medium,5,uci,0.2251,0.0282,0.1861,0.2584,0.3227,0.0162,2.4704,1.8762,1.5447,5.8913,0.2765,0.0382,0.0548,3200,0.4699,200,16,5
yeast,iforest,Axis-parallel (iForest),ik,2026-05-25 17:33:52,1484,8,10,mixed,varying,low,medium,5,uci,0.1274,0.0127,0.1116,0.1412,0.2466,0.0194,0.9588,0.474,1.2253,2.658,0.1458,0.0479,0.0928,9303,1.0,200,256,5
yeast,iforest,Axis-parallel (iForest),idk,2026-05-25 17:33:54,1484,8,10,mixed,varying,low,medium,5,uci,0.1274,0.0127,0.1116,0.1412,0.2466,0.0194,1.1263,0.4089,1.0481,2.5833,0.1274,0.0493,0.0954,9303,1.0,200,256,5
yeast,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:34:04,1484,8,10,mixed,varying,low,medium,5,uci,0.1468,0.0044,0.1412,0.1543,0.2767,0.0027,3.6291,2.4555,2.3487,8.4333,0.3242,0.0174,0.0328,3200,1.0131,200,16,5
yeast,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:34:05,1484,8,10,mixed,varying,low,medium,5,uci,0.1646,0.0116,0.1519,0.179,0.2869,0.0095,3.5912,2.4832,2.2639,8.3383,0.3838,0.0197,0.0344,3200,1.0131,200,16,5
syn_circles_medium,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:34:05,800,2,2,nested,uniform,low,medium,4,sklearn_gen,-0.0005,0.0007,-0.0013,0.0006,0.0005,0.0005,52.0555,21.1795,21.5394,94.7744,7.6751,-0.0,0.0,17341,1.0,200,256,5
syn_circles_medium,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:34:06,800,2,2,nested,uniform,low,medium,4,sklearn_gen,-0.0005,0.0007,-0.0013,0.0006,0.0005,0.0005,52.5251,21.3292,21.3742,95.2285,7.7807,-0.0,0.0,17341,1.0,200,256,5
digits,anne,Voronoi (aNNE),idk,2026-05-25 17:34:26,1797,64,10,mixed,uniform,high,large,6,sklearn,0.6621,0.0128,0.6477,0.6825,0.7496,0.0068,0.5338,0.4403,0.8292,1.8033,0.056,0.3672,0.4157,3200,1.0,200,16,5
digits,anne,Voronoi (aNNE),ik,2026-05-25 17:34:26,1797,64,10,mixed,uniform,high,large,6,sklearn,0.6621,0.0128,0.6477,0.6825,0.7496,0.0068,0.5427,0.3898,0.7838,1.7163,0.05,0.3858,0.4367,3200,1.0,200,16,5
digits,inne,Hypersphere (iNNE),ik,2026-05-25 17:34:53,1797,64,10,mixed,uniform,high,large,6,sklearn,0.6947,0.0107,0.6762,0.709,0.7774,0.0077,3.6183,1.8737,2.0868,7.5789,1.2647,0.0917,0.1026,3200,0.5683,200,16,5
digits,inne,Hypersphere (iNNE),idk,2026-05-25 17:34:53,1797,64,10,mixed,uniform,high,large,6,sklearn,0.6937,0.0097,0.6794,0.7092,0.7786,0.0063,3.5719,1.87,2.1573,7.5992,1.2268,0.0913,0.1025,3200,0.5683,200,16,5
digits,iforest,Axis-parallel (iForest),ik,2026-05-25 17:35:20,1797,64,10,mixed,uniform,high,large,6,sklearn,0.5592,0.0285,0.5207,0.5886,0.6933,0.0115,1.5667,0.4477,0.7805,2.7949,0.6538,0.2001,0.2481,16061,1.0,200,256,5
digits,iforest,Axis-parallel (iForest),idk,2026-05-25 17:35:20,1797,64,10,mixed,uniform,high,large,6,sklearn,0.5592,0.0285,0.5207,0.5886,0.6933,0.0115,1.4542,0.4499,0.863,2.7671,0.6696,0.2021,0.2506,16061,1.0,200,256,5
digits,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:35:27,1797,64,10,mixed,uniform,high,large,6,sklearn,0.6633,0.0119,0.6426,0.6755,0.7534,0.0072,4.0337,2.6628,3.0322,9.7287,0.5419,0.0682,0.0774,3200,1.0109,200,16,5
digits,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:35:27,1797,64,10,mixed,uniform,high,large,6,sklearn,0.6148,0.0395,0.5737,0.6705,0.7312,0.015,3.9645,2.6526,3.0551,9.6722,0.8296,0.0636,0.0756,3200,1.0109,200,16,5
syn_highdim_50,anne,Voronoi (aNNE),ik,2026-05-25 17:35:33,1000,50,3,spherical,uniform,high,medium,6,sklearn_gen,0.3169,0.0209,0.292,0.3444,0.3054,0.023,0.279,0.2026,0.2436,0.7252,0.0468,0.437,0.4211,3200,1.0,200,16,5
syn_highdim_50,anne,Voronoi (aNNE),idk,2026-05-25 17:35:33,1000,50,3,spherical,uniform,high,medium,6,sklearn_gen,0.3169,0.0209,0.292,0.3444,0.3054,0.023,0.233,0.1568,0.2518,0.6417,0.0052,0.4938,0.4759,3200,1.0,200,16,5
syn_highdim_50,inne,Hypersphere (iNNE),ik,2026-05-25 17:36:05,1000,50,3,spherical,uniform,high,medium,6,sklearn_gen,0.424,0.0142,0.4048,0.4465,0.4277,0.0156,2.4714,1.7828,1.6075,5.8617,0.2255,0.0723,0.073,3200,0.3842,200,16,5
syn_highdim_50,inne,Hypersphere (iNNE),idk,2026-05-25 17:36:06,1000,50,3,spherical,uniform,high,medium,6,sklearn_gen,0.4459,0.013,0.4221,0.4603,0.4467,0.0122,2.6418,1.7165,1.5235,5.8818,0.4135,0.0758,0.0759,3200,0.3842,200,16,5
syn_density_3d,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:36:11,1000,3,3,mixed,varying,low,medium,5,sklearn_gen,0.7436,0.0319,0.6835,0.7677,0.7908,0.0202,34.4171,17.4709,15.3794,67.2674,2.1581,0.0111,0.0118,13368,1.0,200,256,5
syn_density_3d,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:36:13,1000,3,3,mixed,varying,low,medium,5,sklearn_gen,0.7436,0.0319,0.6835,0.7677,0.7908,0.0202,34.1379,17.68,15.1731,66.991,2.2856,0.0111,0.0118,13368,1.0,200,256,5
syn_highdim_50,iforest,Axis-parallel (iForest),ik,2026-05-25 17:36:26,1000,50,3,spherical,uniform,high,medium,6,sklearn_gen,0.151,0.0278,0.1237,0.1995,0.137,0.0232,1.0338,0.4002,0.8169,2.2509,0.1664,0.0671,0.0609,12184,1.0,200,256,5
syn_highdim_50,iforest,Axis-parallel (iForest),idk,2026-05-25 17:36:30,1000,50,3,spherical,uniform,high,medium,6,sklearn_gen,0.151,0.0278,0.1237,0.1995,0.137,0.0232,1.0449,0.7639,0.6685,2.4773,0.1481,0.061,0.0553,12184,1.0,200,256,5
syn_highdim_50,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:36:47,1000,50,3,spherical,uniform,high,medium,6,sklearn_gen,0.3769,0.0168,0.3486,0.3974,0.3646,0.0148,3.2452,2.1726,2.0776,7.4954,1.4017,0.0503,0.0486,3200,1.0144,200,16,5
syn_highdim_50,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:36:47,1000,50,3,spherical,uniform,high,medium,6,sklearn_gen,0.3853,0.0184,0.3599,0.4048,0.374,0.0137,3.3972,1.9184,2.0901,7.4057,1.6457,0.052,0.0505,3200,1.0144,200,16,5
syn_highdim_100,anne,Voronoi (aNNE),ik,2026-05-25 17:36:56,1000,100,4,spherical,uniform,vhigh,medium,6,sklearn_gen,0.1867,0.018,0.1629,0.2104,0.2053,0.0167,0.3325,0.2659,0.4303,1.0287,0.0857,0.1815,0.1996,3200,1.0,200,16,5
syn_highdim_100,anne,Voronoi (aNNE),idk,2026-05-25 17:36:56,1000,100,4,spherical,uniform,vhigh,medium,6,sklearn_gen,0.1867,0.018,0.1629,0.2104,0.2053,0.0167,0.2997,0.2882,0.3946,0.9825,0.0825,0.19,0.209,3200,1.0,200,16,5
syn_highdim_100,inne,Hypersphere (iNNE),ik,2026-05-25 17:37:29,1000,100,4,spherical,uniform,vhigh,medium,6,sklearn_gen,0.2237,0.0273,0.1824,0.2647,0.2594,0.0252,2.549,1.7042,1.709,5.9621,0.3003,0.0375,0.0435,3200,0.3605,200,16,5
syn_highdim_100,inne,Hypersphere (iNNE),idk,2026-05-25 17:37:30,1000,100,4,spherical,uniform,vhigh,medium,6,sklearn_gen,0.2081,0.0268,0.1666,0.2404,0.2473,0.0207,2.6582,1.6847,1.6453,5.9882,0.2998,0.0348,0.0413,3200,0.3605,200,16,5
syn_highdim_100,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:38:05,1000,100,4,spherical,uniform,vhigh,medium,6,sklearn_gen,0.184,0.0337,0.1199,0.2108,0.2129,0.0229,2.6948,1.4967,1.7725,5.964,0.9886,0.0308,0.0357,3200,1.0188,200,16,5
syn_highdim_100,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:38:05,1000,100,4,spherical,uniform,vhigh,medium,6,sklearn_gen,0.1788,0.031,0.139,0.2216,0.2146,0.0185,2.28,1.6284,1.9562,5.8646,0.2744,0.0305,0.0366,3200,1.0188,200,16,5
syn_highdim_100,iforest,Axis-parallel (iForest),ik,2026-05-25 17:38:15,1000,100,4,spherical,uniform,vhigh,medium,6,sklearn_gen,0.0911,0.0066,0.0783,0.0965,0.103,0.0088,0.8153,0.436,0.3802,1.6315,0.0994,0.0558,0.0631,12390,1.0,200,256,5
syn_highdim_100,iforest,Axis-parallel (iForest),idk,2026-05-25 17:38:16,1000,100,4,spherical,uniform,vhigh,medium,6,sklearn_gen,0.0911,0.0066,0.0783,0.0965,0.103,0.0088,0.7101,0.2477,0.4122,1.37,0.0093,0.0665,0.0752,12390,1.0,200,256,5
yeast,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:38:33,1484,8,10,mixed,varying,low,medium,5,uci,0.1547,0.0168,0.1354,0.1788,0.2768,0.0118,28.2378,13.536,12.7488,54.5226,2.8816,0.0028,0.0051,8309,1.0,200,256,5
yeast,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:38:34,1484,8,10,mixed,varying,low,medium,5,uci,0.1547,0.0168,0.1354,0.1788,0.2768,0.0118,27.3318,13.5824,12.8967,53.8109,2.4771,0.0029,0.0051,8309,1.0,200,256,5
dermatology,anne,Voronoi (aNNE),ik,2026-05-25 17:38:38,366,34,6,mixed,uniform,high,small,6,uci,0.8523,0.073,0.7066,0.8935,0.8784,0.0397,0.3696,0.2661,0.2283,0.8639,0.0417,0.9866,1.0167,3200,1.0,200,16,5
dermatology,anne,Voronoi (aNNE),idk,2026-05-25 17:38:38,366,34,6,mixed,uniform,high,small,6,uci,0.8523,0.073,0.7066,0.8935,0.8784,0.0397,0.2929,0.2249,0.2097,0.7275,0.0684,1.1716,1.2074,3200,1.0,200,16,5
dermatology,inne,Hypersphere (iNNE),ik,2026-05-25 17:39:00,366,34,6,mixed,uniform,high,small,6,uci,0.908,0.0068,0.896,0.9157,0.9243,0.0029,2.2072,0.9441,1.0308,4.1821,0.6352,0.2171,0.221,3200,0.5536,200,16,5
dermatology,inne,Hypersphere (iNNE),idk,2026-05-25 17:39:01,366,34,6,mixed,uniform,high,small,6,uci,0.9115,0.0054,0.9011,0.9157,0.9254,0.0029,2.1208,1.0267,1.0859,4.2333,0.3489,0.2153,0.2186,3200,0.5536,200,16,5
dermatology,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:39:18,366,34,6,mixed,uniform,high,small,6,uci,0.9254,0.0087,0.9123,0.9368,0.9239,0.0082,1.7341,0.8769,0.9077,3.5187,0.285,0.263,0.2626,3200,1.0246,200,16,5
dermatology,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:39:19,366,34,6,mixed,uniform,high,small,6,uci,0.9276,0.009,0.9122,0.9368,0.9247,0.0094,1.6788,0.9091,0.9374,3.5253,0.2639,0.2631,0.2623,3200,1.0246,200,16,5
dermatology,iforest,Axis-parallel (iForest),ik,2026-05-25 17:39:23,366,34,6,mixed,uniform,high,small,6,uci,0.7467,0.0869,0.6523,0.8805,0.8368,0.0214,0.769,0.0862,0.1147,0.9699,0.1347,0.7699,0.8628,14781,1.0,200,256,5
dermatology,iforest,Axis-parallel (iForest),idk,2026-05-25 17:39:25,366,34,6,mixed,uniform,high,small,6,uci,0.7467,0.0869,0.6523,0.8805,0.8368,0.0214,0.5856,0.1096,0.1552,0.8504,0.1192,0.8781,0.984,14781,1.0,200,256,5
dermatology,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:40:22,366,34,6,mixed,uniform,high,small,6,uci,0.7389,0.0752,0.6697,0.8446,0.8474,0.0119,7.1349,2.377,2.0137,11.5256,0.9583,0.0641,0.0735,9155,1.0,200,256,5
dermatology,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:40:24,366,34,6,mixed,uniform,high,small,6,uci,0.7389,0.0752,0.6697,0.8446,0.8474,0.0119,6.9587,2.1033,2.6007,11.6628,1.1566,0.0634,0.0727,9155,1.0,200,256,5
digits,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:41:06,1797,64,10,mixed,uniform,high,large,6,sklearn,0.5817,0.0351,0.538,0.6214,0.6993,0.0198,35.6896,14.1263,17.2342,67.0501,5.6487,0.0087,0.0104,11665,1.0,200,256,5
digits,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:41:06,1797,64,10,mixed,uniform,high,large,6,sklearn,0.5817,0.0351,0.538,0.6214,0.6993,0.0198,35.6971,14.1767,17.2703,67.1442,5.572,0.0087,0.0104,11665,1.0,200,256,5
syn_highdim_50,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:41:32,1000,50,3,spherical,uniform,high,medium,6,sklearn_gen,0.1502,0.0086,0.1369,0.1618,0.1486,0.0073,34.2925,13.5593,12.5885,60.4403,6.7476,0.0025,0.0025,12314,1.0,200,256,5
syn_highdim_50,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:41:34,1000,50,3,spherical,uniform,high,medium,6,sklearn_gen,0.1502,0.0086,0.1369,0.1618,0.1486,0.0073,33.2564,13.9683,12.9418,60.1665,6.2718,0.0025,0.0025,12314,1.0,200,256,5
letter,anne,Voronoi (aNNE),ik,2026-05-25 17:41:58,5000,16,26,mixed,uniform,low,large,7,uci,0.124,0.0061,0.1159,0.1323,0.3609,0.0046,0.9164,0.9271,4.9602,6.8037,0.2053,0.0182,0.053,3200,1.0,200,16,5
letter,anne,Voronoi (aNNE),idk,2026-05-25 17:42:08,5000,16,26,mixed,uniform,low,large,7,uci,0.124,0.0061,0.1159,0.1323,0.3609,0.0046,1.0366,1.0147,4.8246,6.8758,0.4521,0.018,0.0525,3200,1.0,200,16,5
syn_highdim_100,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:42:28,1000,100,4,spherical,uniform,vhigh,medium,6,sklearn_gen,0.1018,0.0285,0.0631,0.137,0.1134,0.0249,26.4448,12.9832,10.3721,49.8002,7.6769,0.002,0.0023,12460,1.0,200,256,5
syn_highdim_100,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:42:35,1000,100,4,spherical,uniform,vhigh,medium,6,sklearn_gen,0.1018,0.0285,0.0631,0.137,0.1134,0.0249,26.6468,12.9201,11.2956,50.8624,7.4966,0.002,0.0022,12460,1.0,200,256,5
letter,inne,Hypersphere (iNNE),ik,2026-05-25 17:44:50,5000,16,26,mixed,uniform,low,large,7,uci,0.1053,0.0068,0.0925,0.1123,0.3628,0.013,7.2839,5.0219,7.2558,19.5616,2.3657,0.0054,0.0185,3200,0.476,200,16,5
letter,inne,Hypersphere (iNNE),idk,2026-05-25 17:44:55,5000,16,26,mixed,uniform,low,large,7,uci,0.1189,0.0075,0.1065,0.1292,0.3638,0.0024,7.3778,4.7385,8.2384,20.3547,1.9635,0.0058,0.0179,3200,0.476,200,16,5
letter,iforest,Axis-parallel (iForest),ik,2026-05-25 17:45:13,5000,16,26,mixed,uniform,low,large,7,uci,0.1332,0.0095,0.1212,0.1474,0.3836,0.0123,2.1415,0.654,11.8213,14.6167,0.7914,0.0091,0.0262,12948,1.0,200,256,5
letter,iforest,Axis-parallel (iForest),idk,2026-05-25 17:45:29,5000,16,26,mixed,uniform,low,large,7,uci,0.1332,0.0095,0.1212,0.1474,0.3836,0.0123,1.7291,0.4667,15.0454,17.2412,0.5026,0.0077,0.0222,12948,1.0,200,256,5
letter,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:45:53,5000,16,26,mixed,uniform,low,large,7,uci,0.1213,0.0115,0.1105,0.1388,0.3717,0.0078,9.1422,7.6002,16.755,33.4974,3.2754,0.0036,0.0111,3200,1.011,200,16,5
letter,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:45:55,5000,16,26,mixed,uniform,low,large,7,uci,0.1196,0.0102,0.1062,0.131,0.3637,0.0114,9.7738,7.9794,16.5459,34.2992,4.0212,0.0035,0.0106,3200,1.011,200,16,5
letter,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:46:48,5000,16,26,mixed,uniform,low,large,7,uci,0.1235,0.0159,0.1021,0.1517,0.3719,0.0163,17.9555,5.295,12.8658,36.1164,11.2797,0.0034,0.0103,12155,1.0,200,256,5
letter,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:46:49,5000,16,26,mixed,uniform,low,large,7,uci,0.1235,0.0159,0.1021,0.1517,0.3719,0.0163,16.1506,5.5487,13.3819,35.0813,9.1336,0.0035,0.0106,12155,1.0,200,256,5
