dataset,partition,partition_name,kernel,timestamp,n,features,shape,density,dim_level,size_level,condition,source,anom_rate,auc_mean,auc_std,auc_min,auc_max,fit_time_s,transform_time_s,score_time_s,total_time_s,fit_time_std,auc_per_sec,phi_width,n_estimators,max_samples,n_runs
breast_cancer,anne,Voronoi (aNNE),ik,2026-05-21 22:58:49,569,30,spherical,uniform,mid,medium,1,sklearn,,0.309,0.0305,0.2566,0.3399,0.0332,0.0187,0.0367,0.0886,0.004,3.4854,3200,200,16,5
breast_cancer,anne,Voronoi (aNNE),idk,2026-05-21 22:58:49,569,30,spherical,uniform,mid,medium,1,sklearn,,0.309,0.0305,0.2566,0.3399,0.0319,0.0166,0.0515,0.1,0.0006,3.0903,3200,200,16,5
breast_cancer,inne,Hypersphere (iNNE),ik,2026-05-21 22:58:57,569,30,spherical,uniform,mid,medium,1,sklearn,,0.9068,0.0346,0.8461,0.938,0.6768,0.4034,0.4078,1.488,0.7223,0.6094,3200,200,16,5
breast_cancer,inne,Hypersphere (iNNE),idk,2026-05-21 22:59:03,569,30,spherical,uniform,mid,medium,1,sklearn,,0.8963,0.0523,0.7997,0.9387,0.3383,0.4108,0.4521,1.2011,0.0294,0.7463,3200,200,16,5
breast_cancer,iforest,Axis-parallel (iForest),ik,2026-05-21 22:59:05,569,30,spherical,uniform,mid,medium,1,sklearn,,0.158,0.0164,0.1416,0.1826,0.2017,0.0625,0.0953,0.3595,0.0128,0.4395,1794,200,16,5
breast_cancer,iforest,Axis-parallel (iForest),idk,2026-05-21 22:59:06,569,30,spherical,uniform,mid,medium,1,sklearn,,0.158,0.0164,0.1416,0.1826,0.1919,0.0613,0.0947,0.3479,0.0025,0.4543,1794,200,16,5
breast_cancer,sciforest,Random hyperplane (SCiForest),ik,2026-05-21 22:59:34,569,30,spherical,uniform,mid,medium,1,sklearn,,0.3715,0.0565,0.2923,0.4414,1.7373,1.7173,1.9757,5.4303,0.0861,0.0684,3109,200,16,5
breast_cancer,sciforest,Random hyperplane (SCiForest),idk,2026-05-21 23:00:02,569,30,spherical,uniform,mid,medium,1,sklearn,,0.3715,0.0565,0.2923,0.4414,1.9055,1.8005,1.9569,5.6628,0.2457,0.0656,3109,200,16,5
wbc_uci,anne,Voronoi (aNNE),ik,2026-05-21 23:00:02,699,9,spherical,uniform,mid,small,1,UCI,,0.8902,0.0113,0.8784,0.9079,0.0327,0.0205,0.047,0.1002,0.0003,8.8815,3200,200,16,5
wbc_uci,anne,Voronoi (aNNE),idk,2026-05-21 23:00:03,699,9,spherical,uniform,mid,small,1,UCI,,0.8902,0.0113,0.8784,0.9079,0.0359,0.0203,0.0607,0.117,0.0065,7.6103,3200,200,16,5
wbc_uci,inne,Hypersphere (iNNE),ik,2026-05-21 23:00:07,699,9,spherical,uniform,mid,small,1,UCI,,0.0505,0.0044,0.046,0.0574,0.3898,0.2115,0.221,0.8223,0.0103,0.0614,3200,200,16,5
wbc_uci,inne,Hypersphere (iNNE),idk,2026-05-21 23:00:12,699,9,spherical,uniform,mid,small,1,UCI,,0.0397,0.0031,0.0351,0.0436,0.412,0.237,0.2526,0.9016,0.0452,0.044,3200,200,16,5
wbc_uci,iforest,Axis-parallel (iForest),ik,2026-05-21 23:00:14,699,9,spherical,uniform,mid,small,1,UCI,,0.9933,0.0004,0.9927,0.9936,0.1996,0.0774,0.1308,0.4078,0.0106,2.4357,1757,200,16,5
wbc_uci,iforest,Axis-parallel (iForest),idk,2026-05-21 23:00:16,699,9,spherical,uniform,mid,small,1,UCI,,0.9933,0.0004,0.9927,0.9936,0.199,0.0773,0.1376,0.4138,0.0059,2.4001,1757,200,16,5
wbc_uci,sciforest,Random hyperplane (SCiForest),ik,2026-05-21 23:00:43,699,9,spherical,uniform,mid,small,1,UCI,,0.9926,0.0009,0.9911,0.9937,1.8563,1.7799,1.7746,5.4108,0.1826,0.1835,2249,200,16,5
wbc_uci,sciforest,Random hyperplane (SCiForest),idk,2026-05-21 23:01:09,699,9,spherical,uniform,mid,small,1,UCI,,0.9926,0.0009,0.9911,0.9937,1.77,1.7266,1.754,5.2506,0.0185,0.1891,2249,200,16,5
breastw,anne,Voronoi (aNNE),ik,2026-05-21 23:01:10,683,9,spherical,uniform,low,small,1,ADBench,,0.8889,0.0188,0.8655,0.9069,0.0318,0.0185,0.0451,0.0953,0.0003,9.3247,3200,200,16,5
breastw,anne,Voronoi (aNNE),idk,2026-05-21 23:01:10,683,9,spherical,uniform,low,small,1,ADBench,,0.8889,0.0188,0.8655,0.9069,0.0319,0.0186,0.0583,0.1089,0.0001,8.1657,3200,200,16,5
breastw,inne,Hypersphere (iNNE),ik,2026-05-21 23:01:14,683,9,spherical,uniform,low,small,1,ADBench,,0.052,0.0055,0.0442,0.0607,0.3113,0.2094,0.2109,0.7316,0.002,0.0711,3200,200,16,5
breastw,inne,Hypersphere (iNNE),idk,2026-05-21 23:01:18,683,9,spherical,uniform,low,small,1,ADBench,,0.0424,0.003,0.0379,0.0451,0.3244,0.2091,0.2442,0.7777,0.0213,0.0545,3200,200,16,5
breastw,iforest,Axis-parallel (iForest),ik,2026-05-21 23:01:20,683,9,spherical,uniform,low,small,1,ADBench,,0.9945,0.0008,0.993,0.9952,0.1847,0.071,0.118,0.3736,0.0011,2.6617,1765,200,16,5
breastw,iforest,Axis-parallel (iForest),idk,2026-05-21 23:01:22,683,9,spherical,uniform,low,small,1,ADBench,,0.9945,0.0008,0.993,0.9952,0.1856,0.0713,0.1097,0.3666,0.0026,2.7127,1765,200,16,5
breastw,sciforest,Random hyperplane (SCiForest),ik,2026-05-21 23:01:47,683,9,spherical,uniform,low,small,1,ADBench,,0.9938,0.0007,0.9929,0.9944,1.7022,1.6736,1.7057,5.0815,0.0129,0.1956,2254,200,16,5
